id,name,profile,company,job_title,twitter_id,github_id,conference_id
1301,高石 諒,CNCF Ambassadorとして活動し、KubernetesとIstioを活用した大規模マイクロサービスアーキテクチャの設計・構築を多数手がける。著書「マイクロサービスパターン実践ガイド」が好評。,CloudNative Solutions Inc.,Cloud Native Architect,r_takaishi,takaishi,13
1302,三輪 昌光,オープンソースの監視システムのエキスパート。PrometheusとGrafanaのコミッターとして活動し、大規模環境での監視システム構築の実績多数。CNCFのTechnical Advisory Groupメンバー。,TechNative Systems,Infrastructure Engineer,hoge,fuga,13
1303,山岸 克明,CNCFの複数プロジェクトにコントリビュート。特に大規模環境での運用・管理の知見が豊富で、国内外のカンファレンスで講演多数。Kubernetesのトラブルシューティングガイドを共同執筆。,CloudNativeOps,Infrastructure Engineer,realDonaldTrump,donaldtrump,13
1304,奥村 秀司,サーバーレスアーキテクチャの先駆者。AWS Lambdaの初期導入から携わり、Knativeの日本語ドキュメントを執筆。著書「サーバーレスアーキテクチャ実践ガイド」が技術書大賞を受賞。,ServerlessTech,Infrastructure Engineer,twi11,github11,13
1305,大川 文典,セキュリティエンジニアとして10年以上の経験。Falcoのコアコントリビューターとして活動し、クラウドネイティブセキュリティの啓蒙活動に力を入れている。CNCF Security TAGメンバー。,SecureCloud,Infrastructure Engineer,twi12,github12,13
1306,スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ドコドコ・ヤッタゼ・ヴァルキュリア・パッション・アールヴ・ノエル・チャコボシ・エルアリア・フロージア・メイドイン・ブルーム・エル,DevOpsとSREの実践者として、複数の企業でCI/CDパイプラインの自動化を推進。GitOpsの導入支援や監視システムの構築を多数手がける。CNCF Ambassadorとしても活動中。,DevOpsInnovation,Marketing,twi13,github13,13
1307,藤田 初美,女性エンジニアの育成と支援に注力。CNCFのDiversity & Inclusion Working Groupのメンバーとして活動。技術コミュニティの運営経験が豊富で、複数のカンファレンスのオーガナイザーを務める。,WomenInTech,Manager,twi14,github14,13
1308,奥村 真志,データベースエンジニアとして15年以上の経験。特に分散データベースの運用に精通し、複数の企業で大規模データベースの設計・構築を手がける。PostgreSQLのコミッターとしても活動。,DataNative,Infrastructure Engineer,twi15,github15,13
1309,小柳 たか子,マイクロサービスアーキテクチャの設計・実装のエキスパート。gRPCとGraphQLの実装経験が豊富で、複数の企業でマイクロサービス移行を支援。CNCFのMicroservices Working Groupメンバー。,MicroServiceTech,Software Engineer,twi16,github16,13
1310,北島 友隆,CI/CDの専門家として、ArgoCDとTektonの導入支援を多数手がける。GitOpsの実践者として知られ、関連する書籍や記事を多数執筆。CNCFのApp Delivery TAGメンバー。,PipelineTech,Software Engineer,twi17,github17,13
